,Dato,Kvitteringer,eResept,NAV,Basismeldinger,Folkehelseinstituttet,Dialogmeldinger,Systemmeldinger,Pleie- og omsorgsmeldinger,Partnermeldinger,Skatteetaten,Helsedirektoratet,Kreftmeldinger,Neonatal,Ikke spesifisert,Ikke Kategoriserte,Totalt antall meldinger,Antall ebxml meldinger,Antall medisinske meldinger,Ikke kategorisert,Antall ikke ebxml meldinger,eResept-meldinger,NAV- og HELFO-meldinger,FHI-meldinger,eResept-meldinger 
245,2017-09-03,72530,14959.0,22670.0,11078,862.0,1394,2859,1635,7.0,150,160,0,0.0,5.0,443,133114,128752,52913,,,,,,
246,2017-09-04,1092454,399421.0,194794.0,133211,14985.0,11983,4940,5837,306.0,164,665,12,147.0,1.0,1663,1898914,1860583,761220,,,,,,
247,2017-09-05,1121275,434128.0,167454.0,140030,19833.0,11538,4470,5630,307.0,173,604,0,68.0,5.0,1454,1947902,1906969,779463,,,,,,
248,2017-09-06,1083365,396195.0,156051.0,140333,16009.0,11728,4141,5468,198.0,178,485,0,0.0,132.0,1488,1850453,1815771,726579,,,,,,
249,2017-09-07,1093751,425980.0,150138.0,136454,21184.0,11054,4283,5385,260.0,170,524,0,96.0,3.0,1345,1885156,1850627,750988,,,,,,
250,2017-09-08,1036505,418855.0,141896.0,132475,11254.0,10464,4168,5456,220.0,185,494,0,121.0,3.0,1207,1793286,1763303,721203,,,,,,
251,2017-09-09,288421,186352.0,23742.0,17344,833.0,1414,2811,1619,31.0,149,104,0,0.0,0.0,438,530575,523258,231557,,,,,,
252,2017-09-10,91923,16518.0,20822.0,12544,649.0,1839,2782,1686,28.0,141,98,0,0.0,0.0,516,153987,149546,54297,,,,,,
253,2017-09-11,1154721,437647.0,184672.0,139278,20733.0,11709,4327,6218,307.0,157,549,10,0.0,342.0,1458,1998810,1962128,801315,,,,,,
254,2017-09-12,1115148,422294.0,157487.0,136748,29455.0,11335,4500,5534,267.0,194,334,0,0.0,2.0,1497,1918842,1884795,763383,,,,,,
255,2017-09-13,1072689,399647.0,147830.0,143519,19266.0,11298,4911,5657,232.0,183,248,0,22.0,61.0,1415,1849663,1806978,727731,,,,,,
256,2017-09-14,1069479,412108.0,146137.0,141329,18785.0,10999,5246,5465,306.0,167,238,0,0.0,5.0,1329,1845473,1811593,735233,,,,,,
257,2017-09-15,1045328,430154.0,145354.0,130649,14550.0,10465,6685,5547,243.0,163,226,0,0.0,62.0,1211,1819883,1790637,737170,,,,,,
258,2017-09-16,296029,203748.0,21788.0,17222,933.0,1371,2825,1546,30.0,146,97,0,0.0,0.0,402,551461,546137,246851,,,,,,
259,2017-09-17,91065,18639.0,22109.0,11678,879.0,1574,4386,1532,35.0,131,52,0,0.0,0.0,408,156649,152488,56594,,,,,,
260,2017-09-18,1153188,436737.0,190119.0,136141,23040.0,11673,5396,6014,325.0,168,313,0,0.0,17.0,1407,2004359,1964538,804222,,,,,,
261,2017-09-19,1127299,452230.0,155807.0,140369,22201.0,11636,4356,5763,358.0,167,262,310,0.0,0.0,1306,1956065,1922064,788745,,,,,,
262,2017-09-20,1067827,409448.0,144747.0,140363,19739.0,11351,4199,5417,391.0,174,197,210,7.0,18.0,1365,1839646,1805453,731671,,,,,,
263,2017-09-21,1095425,435946.0,142873.0,137006,28455.0,11122,4085,5436,481.0,154,335,10,0.0,16.0,1336,1899824,1862680,761353,,,,,,
264,2017-09-22,1015663,423598.0,132035.0,125625,17315.0,10929,4141,5678,322.0,150,212,0,0.0,22.0,1207,1765379,1736897,715564,,,,,,
265,2017-09-23,279378,198758.0,22888.0,18735,789.0,1444,2881,1596,26.0,163,106,0,0.0,0.0,426,532675,527190,244479,,,,,,
266,2017-09-24,74470,9635.0,22836.0,12422,682.0,1669,2834,1540,51.0,121,53,0,0.0,0.0,404,131077,126717,48958,,,,,,
267,2017-09-25,1119346,422492.0,187636.0,131785,28048.0,11839,4667,6162,288.0,174,305,0,0.0,26.0,1477,1949556,1914245,788467,,,,,,
268,2017-09-26,1119629,426722.0,153325.0,139906,30667.0,11790,4266,5833,357.0,195,219,19,0.0,11.0,1417,1929008,1894356,768687,,,,,,
269,2017-09-27,1116544,417901.0,146810.0,144810,31240.0,11398,4454,5494,313.0,179,183,0,0.0,17.0,1280,1918348,1880623,758032,,,,,,
270,2017-09-28,1147138,449954.0,144872.0,138974,39118.0,11282,4294,5630,324.0,169,259,0,0.0,0.0,1447,1977043,1943461,790258,,,,,,
271,2017-09-29,1297849,554284.0,153109.0,154607,30449.0,12789,4836,6604,335.0,184,323,208,0.0,30.0,1629,2262357,2217236,912587,,,,,,
272,2017-09-30,323324,225902.0,24890.0,17898,1505.0,1335,2834,1540,35.0,142,172,0,0.0,0.0,373,605622,599950,273384,,,,,,
273,2017-10-01,93113,16763.0,27095.0,12009,1520.0,1621,2774,1577,26.0,123,108,0,0.0,12.0,432,162038,157173,60828,,,,,,
274,2017-10-02,1111785,408277.0,197026.0,125865,28536.0,11742,3797,5965,228.0,158,177,2,282.0,1.0,1419,1937193,1895260,778031,,,,,,
275,2017-10-03,1094128,414564.0,170687.0,140041,29767.0,11542,4095,5838,225.0,184,354,0,68.0,1.0,1328,1906060,1872822,773046,,,,,,
276,2017-10-04,1061019,404787.0,133093.0,135574,28955.0,11805,4605,5503,196.0,196,306,16,127.0,41.0,1382,1818521,1787605,720403,,,,,,
277,2017-10-05,1059175,412478.0,122000.0,131442,26981.0,11425,4239,5581,250.0,147,393,0,102.0,7.0,1266,1805744,1775486,710556,,,,,,
278,2017-10-06,1033691,415468.0,135088.0,118917,18503.0,10474,4522,5807,163.0,171,182,0,0.0,33.0,1201,1769158,1744220,704643,,,,,,
279,2017-10-07,285423,194519.0,19910.0,17149,1364.0,1387,2788,1635,69.0,146,130,0,0.0,0.0,421,530051,524941,236240,,,,,,
280,2017-10-08,81944,15799.0,18652.0,12221,691.0,1504,2736,1586,63.0,113,97,0,0.0,0.0,376,139918,135782,50663,,,,,,
281,2017-10-09,1101393,418261.0,160440.0,127305,27251.0,11712,4331,6124,366.0,164,167,0,153.0,34.0,1392,1891064,1859093,751611,,,,,,
282,2017-10-10,1074494,417884.0,136322.0,134775,31505.0,11165,4623,5610,315.0,157,173,287,0.0,3.0,1340,1852767,1818653,737881,,,,,,
283,2017-10-11,1065337,414428.0,124861.0,136808,36522.0,11469,4729,5614,364.0,184,195,0,192.0,4.0,1391,1833059,1802098,730277,,,,,,
284,2017-10-12,1097877,476352.0,123780.0,133016,31304.0,10918,4501,5461,384.0,161,213,0,0.0,0.0,1368,1913483,1885335,781205,,,,,,
285,2017-10-13,1013875,451371.0,117456.0,124492,23349.0,9919,4142,5303,318.0,150,160,25,0.0,154.0,1151,1797538,1751865,732379,,,,,,
286,2017-10-14,350823,208757.0,21979.0,18491,24410.0,1425,2841,1557,65.0,131,90,0,0.0,0.0,420,668682,630989,276840,,,,,,
287,2017-10-15,74729,18935.0,19058.0,11960,1074.0,1713,2729,1596,53.0,112,64,0,0.0,0.0,425,136180,132448,54512,,,,,,
288,2017-10-16,1130392,426071.0,275510.0,133145,28648.0,11914,5230,6306,307.0,188,155,0,0.0,8.0,1372,2048681,2019246,881945,,,,,,
289,2017-10-17,1142032,417187.0,264962.0,139229,38299.0,11548,4265,5556,436.0,143,213,0,0.0,1.0,1279,2053877,2025150,877138,,,,,,
290,2017-10-18,1198426,397729.0,184196.0,141398,36429.0,12151,4112,5741,453.0,167,286,18,0.0,108.0,1261,2010707,1982475,778223,,,,,,
291,2017-10-19,1170109,450877.0,129198.0,136190,38951.0,11486,3874,5546,468.0,152,283,175,26.0,1.0,1281,1974858,1948617,772885,,,,,,
292,2017-10-20,1170531,465394.0,131800.0,131548,28982.0,11215,3859,5636,296.0,162,296,0,4.0,34.0,1158,1977924,1950915,775071,,,,,,
293,2017-10-21,289206,205488.0,18700.0,16035,949.0,1501,2660,1588,37.0,126,86,0,0.0,0.0,261,541758,536637,244473,,,,,,
294,2017-10-22,72754,16648.0,18242.0,12703,1014.0,1829,3043,1746,34.0,122,62,0,0.0,4.0,308,132110,128509,52370,,,,,,
295,2017-10-23,1187768,431969.0,174576.0,139383,39279.0,12696,4896,6172,308.0,139,261,0,62.0,94.0,12054,2037858,2009657,804631,,,,,,
